 #Wire       t_zero       t_zero_err       entries 
1        -16        4.2432        1018
3        -10        2.48908        1142
4        -16        4.1168        1111
5        -8        1.87203        980
6        -15        4.19309        974
7        -16        4.80539        942
8        -16        4.74317        997
9        -13        3.17873        971
10        -9        2.29569        953
11        -14        4.03659        889
12        -6        1.55032        862
13        -10        3.41695        874
14        -15        4.33266        855
15        -19        5.46159        803
16        -21        7.23121        769
17        -15        3.87662        745
18        -24        8.97687        715
19        -21        6.98444        733
20        -17        5.18892        671
21        -15        3.17683        683
22        -20        5.54        618
23        -26        12.7118        652
24        -23        8.02644        627
25        -29        20.4941        582
26        -22        6.33218        572
27        -13        3.66935        499
28        -21        7.46841        505
29        -19        5.25769        491
30        5        2.40872        514
31        5        2.23117        457
32        3        2.40971        479
33        3        2.45072        449
34        6        1.9911        410
35        0        5.37176        397
36        1        1.90898        424
37        -2        2.67796        376
38        7        3.3106        376
39        2        3.75018        337
40        1        3.42458        328
41        2        3.25328        338
77        -7        4.08994        337
