#WIRE    t0   t0_err    entries 
1          1273          94033.9          109
2          113          538.943          99
3          70          254.791          93
4          -44          138.868          96
5          65          208.769          97
6          543          25292.3          89
7          86548445          2.08357e+28          102
8          -29          125.582          97
9          59          149.129          103
10          39          99.1901          85
11          -9          17.7509          85
12          -7          34.5779          97
13          0          51.3886          71
14          51          132.817          94
15          0          44.1053          73
16          828642055          1.65839e+24          89
17          -65          346.066          112
18          85          61.1993          41
19          -8          14.8027          105
20          73          255.177          124
21          93          524.17          100
22          -59          195.168          117
23          -9          47.8324          117
24          -31          92.4035          113
25          691894440          4.18999e+25          113
26          -29          37.1103          112
27          -174          1554          111
28          -182          1486.69          119
29          -99          540.298          109
30          -733          41104.5          111
31          -12          19.5217          121
32          -55          155.491          116
33          4          10.9618          122
34          516742015          2.27235e+25          117
35          -41          97.8877          110
36          -38          90.3257          116
37          1075361331          6.25439e+25          114
38          -9          23.3907          121
39          -81          372.231          113
40          -32          72.3877          109
41          -50          128.574          128
42          63          228.745          141
43          -16          32.3221          108
44          86114636          1.17951e+26          122
45          -359          6340.06          103
46          -29          72.1053          126
47          -1251          131583          126
48          -14          47.8731          113
49          -1075226929          5.74436e+25          123
50          -60          200.864          119
51          -18          32.8757          116
52          -28          39.6807          123
53          -5          33.1218          125
54          90          353.002          139
55          -14          18.6057          128
56          -1          9.63121          140
57          1          10.0704          132
58          -4          8.93338          124
59          -29          51.6023          147
60          16          42.4541          6
61          32          96.9536          135
62          -89          342.93          140
63          -57          201.9          136
64          -39          83.5179          142
65          -533          21344.8          161
66          -41          95.7561          143
67          -1          4.56694          185
68          704          29499.3          159
69          52          93.1773          173
70          -17          14.9333          163
71          -19          25.8099          165
72          2          4.63739          205
73          -10          10.417          184
74          -3          2.64584          201
75          -7          3.83769          211
76          -9          7.52395          245
77          -17          17.674          205
78          -18          10.4911          222
79          -2          4.51661          240
80          -4          3.33224          276
81          9          5.55558          311
82          -3          4.34392          304
83          0          3.05022          350
84          -2          5.44652          351
85          -9          11.0591          373
86          1          3.27273          374
87          -36          48.9038          400
88          -15          10.0032          397
89          2          4.58186          418
90          -1          1.7952          449
91          4          3.09574          454
92          -6          4.55232          428
93          -7          5.4345          482
94          -75          163.543          493
95          -4          2.40171          506
96          2          2.79538          523
97          -14          4.06238          565
98          -35          26.3721          534
99          -13          3.79583          595
100          -21          6.42155          605
101          -20          6.43649          617
102          -22          7.69559          596
103          -24          8.25227          693
104          -20          5.38275          718
105          -46          57.1641          723
106          -25          7.3684          777
107          -23          5.84852          814
108          -23          5.40224          840
109          -20          5.62752          806
110          -30          11.646          880
111          -20          4.83749          853
112          -22          5.79982          868
113          -13          2.97965          822
