#WIRE    t0   t0_err    entries 
1          -1          0          1
2          0          0.875956          872
3          2          1.08419          870
4          0          0.970844          912
5          1          0.941138          868
6          -1          0.728374          951
7          2          0.870906          905
8          0          0.769805          841
9          2          1.07319          878
10          0          0.858479          851
11          1          0.713378          874
12          -1          0.760543          886
13          0          0.54543          886
14          -1          0.788494          976
15          0          0.714624          924
16          -1          0.87609          915
17          0          0.592014          925
18          1          1.67031          643
19          3          1.80264          643
20          0          1.1331          961
21          0          0.692524          951
22          -1          0.815749          968
23          0          0.543181          961
24          1          2.05001          896
25          -1          0.779148          889
26          0          0.650045          918
27          3          0.906817          918
28          5          1.32302          868
29          4          1.57          947
30          5          1.74531          939
31          6          2.45737          962
32          3          0.952436          979
33          3          1.07662          946
34          4          1.13502          966
35          3          0.930833          932
36          3          1.213          934
37          7          2.09168          880
38          5          1.93529          910
39          4          1.15629          892
40          -38          121.615          119
41          3          1.26017          804
42          0          1.01318          1011
43          -1          0.779691          1018
44          0          0.971826          1006
45          2          1.08782          968
46          3          0.972656          1003
47          0          0.613912          991
48          2          0.961299          947
49          0          1.03318          887
50          2          1.12406          895
51          0          0.723142          953
52          1          0.775151          937
