 #Wire       t_zero       t_zero_err       entries 
1        -20        8.49567        458
2        -7        2.79669        424
3        -7        2.38975        473
4        -20        9.18961        497
5        -7        2.29523        516
6        -16        5.57016        568
7        -17        6.3517        554
8        -9        2.1478        618
9        -8        1.84663        611
10        -22        10.8846        618
11        -15        4.22518        638
12        -17        6.33036        613
13        -19        6.55853        634
14        -22        10.5042        619
15        -16        4.88573        689
16        -14        5.14551        676
17        -13        4.02411        697
18        -19        6.32362        737
19        -16        5.05418        704
20        -24        9.94031        759
21        -15        4.18631        726
22        -22        10.9028        725
23        -24        10.001        769
24        -15        4.06199        750
25        -25        11.3139        810
26        -13        3.26082        828
27        -14        3.02814        792
28        -12        4.51528        784
29        -14        3.15319        798
30        -22        8.21654        883
31        -18        4.18008        928
32        -24        10.2652        872
33        -13        2.67637        937
34        -15        3.99151        905
35        -22        6.39851        915
36        -20        7.80065        940
37        -13        2.76273        969
38        -20        5.44831        1025
39        -29        13.8558        948
40        -21        5.11294        1011
41        -23        9.28315        990
42        -14        3.71098        963
43        -24        7.80797        1028
44        -20        5.88887        1011
45        -19        5.10425        1053
46        -24        9.03114        1008
47        -12        2.53444        1052
48        -15        3.81343        1109
49        -18        4.56494        1080
50        -15        3.25608        1120
51        -16        3.80945        1068
52        -15        3.3785        1162
53        -19        4.3873        1190
54        -15        3.45079        1143
55        -18        3.91414        1200
56        -20        4.52925        1224
57        -16        3.30264        1180
58        -13        2.6522        1179
59        -26        11.7766        1138
60        -15        3.15414        1111
61        -15        2.26077        1298
62        -18        4.18395        1258
63        -18        3.35561        1215
64        -15        3.14483        1249
65        -18        3.76385        1258
66        -22        4.53498        1345
67        -29        9.97136        1342
68        -18        3.70279        1238
69        -21        5.18575        1254
70        -27        6.69576        1441
71        -20        3.8438        1437
72        -22        4.851        1380
73        -15        2.46875        1359
74        -28        9.0933        1457
75        -22        4.35734        1464
76        -18        2.88272        1449
77        -20        4.88149        1425
78        -19        3.49729        1457
79        -18        3.66932        1535
80        -26        5.57207        1611
81        -12        2.70894        1251
82        -15        2.66102        1443
83        -22        4.40684        1569
84        -20        4.27873        1588
85        -22        5.2866        1598
86        -17        3.21352        1607
87        -15        2.97761        1575
88        -19        3.53391        1616
89        -25        7.50973        1633
90        -18        3.50184        1684
91        -22        3.63834        1605
92        -19        3.85391        1649
93        -18        3.7636        1647
94        -19        4.38836        1767
95        -21        3.87371        1740
96        -26        6.21371        1742
97        -24        4.78266        1859
98        -20        3.55436        1844
99        -16        2.69657        1851
100        -20        3.61379        1857
101        -18        2.83142        1818
102        -19        3.14605        1901
103        -19        2.85674        1882
104        -21        3.9637        1874
105        -15        2.45295        1948
106        -22        3.44584        1994
107        -24        5.21116        2109
