 #Wire       t_zero       t_zero_err       entries 
1        -2        2.34313        1127
2        -10        1.61917        1944
3        -11        2.10183        2096
4        -14        2.44957        2153
5        -9        1.22893        2225
6        -11        1.82739        2260
7        -13        2.18404        2253
8        -11        1.93283        2202
9        -13        2.29787        2313
10        -8        1.4736        2341
11        -11        1.95607        2143
12        -6        1.15256        2201
13        -9        1.64701        2121
14        -13        1.81127        2265
15        -15        2.5953        2268
16        -13        2.04562        2344
17        -14        2.19309        2319
18        -9        1.26895        2266
19        -11        1.62413        2208
20        -13        1.85634        2239
21        -12        2.25417        2205
22        -11        1.74816        2202
23        -9        1.12706        2308
24        -11        1.65752        2259
25        -13        2.47718        2279
26        -8        1.26281        2204
27        -14        2.42911        2299
28        -14        2.81871        2234
29        -11        1.88728        2263
30        -15        2.59418        2293
31        -12        1.90406        2190
32        -12        2.31742        2294
33        -13        2.34904        2244
34        -16        2.90574        2257
35        -14        2.73744        2245
36        -14        2.56159        2258
37        -12        2.00214        2271
38        -16        3.20742        2343
39        -10        1.55686        2205
40        -11        1.47415        2320
41        -10        1.5244        2330
42        -10        1.75536        2324
43        -12        1.93945        2282
44        -13        2.3688        2337
45        -11        1.48034        2424
46        -10        1.45455        2320
47        -13        1.91385        2357
48        -14        2.8096        2397
49        -12        1.87138        2326
50        -13        2.2363        2303
51        -12        2.07458        2297
52        -13        2.06401        2475
