#WIRE    t0   t0_err    entries 
1          -66          162.442          192
2          -14          7.40871          188
3          -30          47.4354          189
4          -26          29.0336          176
5          755          25927          162
6          -21          16.914          178
7          -28          22.0549          179
8          -14          11.9285          163
9          -34          47.7408          181
10          -14          11.0139          162
11          70          244.858          176
12          -67          228.042          172
13          -43          63.3121          173
14          1444790249          1.5434e+24          159
15          0          4.63164          155
16          80          299.68          148
17          -81          392.232          156
18          224          2111.17          173
19          -8          13.617          148
20          -13          33.1355          149
21          -35          76.1393          152
22          61          170.755          148
23          -141          880.934          174
24          101          622.56          184
25          -37          71.2994          168
26          142          1151.7          146
27          -7          14.4634          161
28          -53          140.668          160
29          -8          10.7695          146
30          -10          8.62831          204
31          -13          28.3701          182
32          0          7.0734          168
33          -6          3.99207          170
34          0          6.23133          178
35          28          17.176          206
36          -2          6.18713          168
37          8          6.5283          164
38          -5          12.2408          163
39          -14          14.4339          198
40          -35          65.9336          182
41          -22          26.395          173
42          -5          6.7692          179
43          -5          10.0512          166
44          13          15.3333          178
45          -13          12.7024          173
46          262          2088.75          182
47          -15          21.8153          180
48          -24          33.4882          185
49          -81          460.911          215
50          -10          15.6542          214
51          -16          19.0873          191
52          -38          60.7478          209
53          -26          34.3867          205
54          -4          4.02373          227
55          -76          200.885          209
56          -81          326.499          196
57          -6          4.51115          213
58          -20          20.3388          226
59          -10          8.81774          205
60          -7          6.75584          232
61          -96          551.123          220
62          5          6.98853          248
63          49          98.3382          219
64          -19          19.1998          258
65          -1          4.45089          245
66          -16          11.3413          258
67          -17          8.33396          274
68          -18          13.3282          302
69          -24          17.4207          305
70          -5          3.38258          321
71          -1          3.51437          322
72          -10          7.69755          297
73          -7          3.82489          345
74          -10          4.82953          361
75          -9          3.29852          367
76          -14          10.5819          403
77          -59          97.4623          441
78          -1          1.35299          476
79          -6          2.78872          517
80          -9          2.24864          532
81          -12          4.67691          539
82          -15          4.93453          545
83          -16          5.47054          572
84          -17          5.32882          594
85          -11          3.3551          563
86          -19          8.28488          564
87          -15          3.82426          631
88          -9          2.10301          654
89          -9          2.9095          693
90          -12          4.36713          708
91          -16          4.66158          676
92          -13          3.91236          765
93          -10          2.70874          783
94          -20          8.89726          815
95          -11          2.46976          874
96          -14          3.53415          830
97          -9          2.52533          847
98          -12          2.99923          887
99          -18          4.50051          861
100          -11          2.55205          891
101          -12          3.08425          917
102          -16          3.76524          931
103          -10          2.15357          940
104          -14          2.72027          967
105          -10          2.30527          988
106          -11          2.36395          975
107          -14          3.04277          1153
