 #Wire       t_zero       t_zero_err       entries 
68        -18        13.3282        302
69        -24        17.4207        305
70        -5        3.38258        321
71        -1        3.51437        322
73        -7        3.82489        345
74        -10        4.82953        361
75        -9        3.29852        367
76        -14        10.5819        403
77        -59        97.4623        441
78        -1        1.35299        476
79        -6        2.78872        517
80        -9        2.24864        532
81        -12        4.67691        539
82        -15        4.93453        545
83        -16        5.47054        572
84        -17        5.32882        594
85        -11        3.3551        563
86        -19        8.28488        564
87        -15        3.82426        631
88        -9        2.10301        654
89        -9        2.9095        693
90        -12        4.36713        708
91        -16        4.66158        676
92        -13        3.91236        765
93        -10        2.70874        783
94        -20        8.89726        815
95        -11        2.46976        874
96        -14        3.53415        830
97        -9        2.52533        847
98        -12        2.99923        887
99        -18        4.50051        861
100        -11        2.55205        891
101        -12        3.08425        917
102        -16        3.76524        931
103        -10        2.15357        940
104        -14        2.72027        967
105        -10        2.30527        988
106        -11        2.36395        975
107        -14        3.04277        1153
