#WIRE    t0   t0_err    entries 
1          -16          4.2432          1018
2          1584896267          8.02486e+25          11
3          -10          2.48908          1142
4          -16          4.1168          1111
5          -8          1.87203          980
6          -15          4.19309          974
7          -16          4.80539          942
8          -16          4.74317          997
9          -13          3.17873          971
10          -9          2.29569          953
11          -14          4.03659          889
12          -6          1.55032          862
13          -10          3.41695          874
14          -15          4.33266          855
15          -19          5.46159          803
16          -21          7.23121          769
17          -15          3.87662          745
18          -24          8.97687          715
19          -21          6.98444          733
20          -17          5.18892          671
21          -15          3.17683          683
22          -20          5.54          618
23          -26          12.7118          652
24          -23          8.02644          627
25          -29          20.4941          582
26          -22          6.33218          572
27          -13          3.66935          499
28          -21          7.46841          505
29          -19          5.25769          491
30          5          2.40872          514
31          5          2.23117          457
32          3          2.40971          479
33          3          2.45072          449
34          6          1.9911          410
35          0          5.37176          397
36          1          1.90898          424
37          -2          2.67796          376
38          7          3.3106          376
39          2          3.75018          337
40          1          3.42458          328
41          2          3.25328          338
42          0          5.074          279
43          4          4.47835          266
44          -2335          325429          284
45          2          4.07309          282
46          1          2.52457          291
47          6          3.6305          257
48          0          2.37651          252
49          -18          17.1685          265
50          -1          1.80252          262
51          -5          3.43374          251
52          -2          4.06022          243
53          -1          2.43157          249
54          -4          2.59459          249
55          -5          4.09451          230
56          -5          3.41674          227
57          -8          7.83986          211
58          1          2.39514          235
59          -2          3.72512          227
60          -9          6.02357          223
61          5          3.20407          222
62          -8          15.4337          205
63          -1          4.00176          229
64          1          3.08987          239
65          0          3.80919          225
66          -5          8.03028          222
67          24          17.0621          203
68          -55          190.286          225
69          -14          15.8837          207
70          -30          38.836          202
71          149          968.554          218
72          100          437.794          190
73          1          6.67441          224
74          -13          11.1965          200
75          -4          5.61849          194
76          -31          47.013          195
77          -7          4.08994          337
78          -10          9.49327          204
79          0          3.92146          203
80          0          2.82941          220
81          -2          3.20767          238
82          -6          3.45301          220
83          -6          3.82769          211
84          0          2.26021          233
85          -4          7.57796          210
86          -1          2.29542          211
87          0          3.28045          222
88          -12          12.5132          200
89          0          2.3759          201
90          -6          4.47114          226
91          -8          4.68971          202
92          25          28.3932          135
93          -13          48.9805          6
94          -192          1790.91          175
95          535953177          1.79866e+25          146
96          -125          800.15          155
97          -34          73.49          143
98          -1093          50240.9          128
99          -4          10.6569          137
100          -7          21.6485          121
101          -26          42.8175          130
102          -4          6.98563          137
103          -77          449.179          146
104          -514076529          1.28189e+24          154
105          -74          467.117          144
106          4          23.0728          147
107          -14          26.4716          140
