 #Wire       t_zero       t_zero_err       entries 
1        2        1.76985        1101
2        -1        3.32704        865
3        3        3.1689        899
4        6        2.12953        870
5        0        4.20838        823
6        3        3.61327        837
7        1        4.05867        767
8        3        3.50189        782
9        4        3.28942        713
10        -3        2.17867        677
11        -4        3.07954        654
12        6        3.42348        644
13        9        3.74244        638
14        11        4.25564        594
15        8        4.71268        593
16        0        3.20175        560
17        4        3.10507        599
18        -136        499.971        523
19        9        4.35556        500
20        3        2.18917        498
21        0        3.38866        480
22        11        4.22693        483
23        -2        6.65786        491
24        -1        4.85948        433
25        6        5.97062        423
26        4        4.18608        369
27        0        12.701        412
28        -2        16.2204        346
29        16        8.04519        319
30        9        8.85001        338
