#WIRE    t0   t0_err    entries 
1          -22          15.7646          340
2          8          40.879          12
3          -15          5.0713          478
4          -30          25.2867          509
5          -35          35.9856          494
6          -12          4.25026          501
7          -12          3.38702          553
8          -20          8.48598          559
9          -19          6.80193          605
10          -16          4.11588          595
11          -13          3.30346          628
12          -24          9.92976          645
13          -20          6.76219          671
14          -18          5.49793          683
15          -50          47.5509          623
16          -33          24.1933          722
17          -21          7.71351          717
18          -20          6.19644          761
19          -24          10.5106          749
20          -15          3.65833          754
21          -11          3.79966          743
22          -15          3.8111          758
23          -31          19.7124          765
24          -13          3.50507          762
25          -13          3.10089          819
26          -19          4.7353          820
27          -12          3.05025          830
28          -18          4.75385          841
29          -24          9.84088          809
30          -16          3.55545          836
31          -23          9.20852          806
32          16          42.4541          4
33          -42          32.6786          842
34          -21          9.59116          827
35          -7          1.66117          858
36          -21          6.94948          871
37          -13          3.44343          874
38          -27          11.1154          898
39          -20          6.46718          836
40          -16          3.95493          915
41          -17          3.59989          948
42          -13          4.19746          937
43          -24          7.8461          930
44          -20          6.40992          949
45          -20          5.91511          906
46          -15          3.27755          975
47          -22          6.96688          957
48          -22          6.02894          981
49          -17          3.77755          968
50          -19          5.18772          1018
51          -29          12.203          1058
52          -26          8.9905          1034
53          -21          5.28293          1059
54          -16          3.40532          1067
55          -18          4.5238          1123
56          -21          6.0433          1087
57          -24          7.00599          1097
58          -20          5.36319          1162
59          -22          5.33911          1157
60          -23          5.98023          1082
61          -22          6.40319          1130
62          -19          3.71711          1171
63          -23          6.46552          1152
64          -22          5.72101          1174
65          -14          3.24272          1156
66          -9          1.53939          1111
67          -13          2.66193          1165
68          -15          2.92763          1239
69          -13          2.16362          1261
70          -12          2.79422          1268
71          -15          3.52906          1279
72          -13          2.81738          1362
73          -17          4.63449          1251
74          -19          4.52256          1271
75          -18          3.63774          1294
76          -14          2.98828          1271
77          -16          3.39993          1313
78          -18          4.30177          1366
79          -15          3.37735          1278
80          -19          3.99635          1310
81          -25          6.19431          1405
82          -24          5.43135          1387
83          -23          4.63914          1434
84          -28          7.91236          1458
85          -24          6.04356          1415
86          -28          7.21947          1452
87          -27          5.48223          1435
88          -21          3.64465          1408
89          -26          5.63334          1528
90          -24          4.58911          1583
91          -27          6.62771          1456
92          -23          4.26414          1508
93          -25          4.28422          1471
94          -22          3.99722          1505
95          -25          5.69485          1610
96          -30          7.45199          1593
97          -15          2.35755          1628
98          -20          4.21155          1619
99          -15          2.46859          1633
100          -20          3.74251          1737
101          -17          2.9267          1662
102          -15          2.56248          1650
103          -16          2.92987          1750
104          -27          7.12558          1710
105          -18          2.82454          1833
106          -18          3.68186          1805
107          -18          2.75107          1771
108          -28          7.11418          1783
109          -25          4.73066          1865
110          -23          4.51288          1856
111          -26          6.22016          1865
112          -29          7.18412          1903
113          -20          3.6549          1709
